date,event,result,location,image_url
1,27.07.2025,,"Los Tranquilos de Japon(BUSHI&Tetsuya Naito) defeatCPF(Danny Black&Joe Lando)RevPro Live In Sheffield July 2025- Online Stream @ Network in Sheffield, South Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
2,25.07.2025,,"Los Tranquilos de Japon(BUSHI&Tetsuya Naito) defeatKieron Lacey&Mark Trew(8:15)RevPro Summer Sizzler 2025- Online Stream @ The Hangar in Wolverhampton, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
3,04.05.2025,,"Los Ingobernables de Japon(BUSHI,Hiromu Takahashi,Shingo Takagi&Tetsuya Naito) defeatJust 4 Guys(Taichi&TAKA Michinoku),Shota Umino&Tomohiro Ishii(10:05)NJPW Wrestling Dontaku 2025 - Tag 2- TV-Show @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
4,03.05.2025,,"Just 4 Guys(Taichi,TAKA Michinoku&Yuya Uemura) &Tomohiro IshiidefeatLos Ingobernables de Japon(BUSHI,Hiromu Takahashi,Tetsuya Naito&Yota Tsuji) (9:03)NJPW Wrestling Dontaku 2025 - Tag 1- Online Stream @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
5,01.05.2025,,"Taichi&Tomohiro IshiidefeatLos Ingobernables de Japon(BUSHI&Tetsuya Naito) (8:25)NJPW Road To Wrestling Dontaku 2025 - Tag 8- Event @ Ichiki-Kushikino Gymnasium in Ichiki-Kushikino, Kagoshima, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
6,30.04.2025,,"Los Ingobernables de Japon(BUSHI,Hiromu Takahashi,Shingo Takagi,Tetsuya Naito&Yota Tsuji) defeatJust 4 Guys(Taichi,TAKA Michinoku&Yuya Uemura),Shota Umino&Tomohiro Ishii(12:22)NJPW Road To Wrestling Dontaku 2025 - Tag 7- Online Stream @ Grand Messe Kumamoto in Mashiki, Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
7,29.04.2025,,"Just 4 Guys(Taichi,TAKA Michinoku&Yuya Uemura),Shota Umino&Tomohiro IshiidefeatLos Ingobernables de Japon(BUSHI,Hiromu Takahashi,Shingo Takagi,Tetsuya Naito&Yota Tsuji) (7:54)NJPW Wrestling Hizen no Kuni- Online Stream @ Saga Arena in Saga, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
8,27.04.2025,,"Just 4 Guys(Taichi,TAKA Michinoku&Yuya Uemura),Shota Umino&Tomohiro IshiidefeatLos Ingobernables de Japon(BUSHI,Hiromu Takahashi,Shingo Takagi,Tetsuya Naito&Yota Tsuji) (10:59)NJPW Road To Wrestling Dontaku 2025 - Tag 6- Online Stream @ KDDI Ishin Hall in Yamaguchi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
9,25.04.2025,,"Los Ingobernables de Japon(BUSHI,Hiromu Takahashi,Shingo Takagi,Tetsuya Naito&Yota Tsuji) defeatJust 4 Guys(Taichi,TAKA Michinoku&Yuya Uemura),Shota Umino&Tomohiro Ishii(16:03)NJPW Road To Wrestling Dontaku 2025 - Tag 5- Event @ Kochi Prefectural Gymnasium in Kochi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
10,23.04.2025,,"Just 4 Guys(Taichi,TAKA Michinoku&Yuya Uemura),Shota Umino&Tomohiro IshiidefeatLos Ingobernables de Japon(BUSHI,Hiromu Takahashi,Shingo Takagi,Tetsuya Naito&Yota Tsuji) (18:33)NJPW Road To Wrestling Dontaku 2025 - Tag 4- Event @ Texport Imabari in Imabari, Ehime, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c0/BUSHI.jpg
